Date,Open,High,Low,Close,Volume,Label,News
2014-09-05,262.09,262.9,263.64,261.34,54400,0,0.463525836
2014-09-11,259.8,261.72,262.45,259.8,66300,1,0.477572559
2014-09-12,261.39,261.01,262.29,260.54,54000,0,0.601587302
2014-09-15,260.56,260.92,261.2,259.6,49200,1,0.558603491
2014-09-16,261.45,261.14,261.94,260.58,48300,1,0.557377049
2014-09-17,264.01,262.71,264.01,262.56,54200,0,0.598607889
2014-09-18,261.72,263.35,264.3,261.27,66600,1,0.588377724
2014-09-19,262.31,262.99,263.64,262.29,83900,0,0.557692308
2014-09-22,260.15,262.06,262.1,259.16,45600,0,0.58423913
2014-09-23,258.49,258.53,259.63,258.11,59100,0,0.475
2014-09-24,258.88,257.81,258.98,256.88,59300,1,0.524934383
2014-09-25,258.46,260.25,260.36,257.88,64400,0,0.425876011
2014-09-26,258.33,256.41,258.34,256.25,55000,1,0.54178273
2014-09-29,257.95,258.95,259.12,257.38,66200,0,0.638497653
2014-09-30,256.77,257.37,258.14,255.09,63800,0,0.617801047
2014-10-01,252.81,255.78,255.81,252.65,70700,0,0.525568182
2014-10-02,250.06,252.09,252.2,249.22,72600,0,0.680043384
2014-10-06,249.19,251.59,251.66,249.1,73500,0,0.742296919
2014-10-07,249.93,250.9,251.49,249.07,67300,0,0.657360406
2014-10-08,248.36,247.89,249.87,247.88,56200,0,0.56661562
2014-10-10,245.06,246.48,246.48,243.85,62300,0,0.631443299
2014-10-13,244.18,241.95,244.68,241.86,66600,1,0.495867769
2014-10-14,244.47,245.27,246.07,244.2,68000,0,0.558823529
2014-10-15,243.87,244.91,245.85,242.95,65300,0,0.523041475
2014-10-16,242.79,241.98,243.31,241.17,71100,0,0.501149425
2014-10-17,239.84,243.26,243.29,239.43,74500,1,0.576631259
2014-10-20,243.9,242.36,244.34,242.08,52800,0,0.552132701
2014-10-21,241.48,242.73,242.73,240.91,63100,1,0.635220126
2014-10-22,244.12,244.43,244.46,242.43,61400,0,0.755154639
2014-10-23,243.38,243.45,245.02,242.32,58900,0,0.759312321
2014-10-24,242.91,244.75,244.76,241.25,88300,1,0.560141509
2014-10-27,243.89,244.02,244.94,243.52,65900,0,0.602247191
2014-10-28,243.3,244.26,244.42,242.93,59900,1,0.595505618
2014-10-29,248.64,245.16,248.7,244.18,97300,1,0.590725806
2014-10-30,248.84,248.01,248.91,246.76,72500,1,0.686774942
2014-10-31,250.45,249.55,250.73,247.96,76800,0,0.68401937
2014-11-03,248.69,249.79,250.01,247.9,68400,0,0.560090703
2014-11-04,246.51,248.15,249.19,245.59,81700,0,0.554083885
2014-11-05,245.86,246.83,247.66,245.28,68300,0,0.50877193
2014-11-06,247.19,246.04,247.65,245.17,67600,1,0.524050633
2014-11-07,247.39,247.05,248.04,246.5,57900,1,0.568720379
2014-11-10,250.64,249.16,251.37,249.11,67000,1,0.530172414
2014-11-11,250.45,250.41,251.07,249.99,58400,1,0.65795207
2014-11-12,251.26,250.76,252.2,250.29,73300,0,0.669546436
2014-11-13,250.11,251.59,251.98,249.28,72700,0,0.689453125
2014-11-14,248.18,249.84,249.84,247.33,63200,0,0.527486911
2014-11-17,248.3,247.73,248.92,246.97,63200,1,0.530567686
2014-11-18,250.65,249.45,250.96,249.45,59500,0,0.584586466
2014-11-19,250.33,251.71,251.71,249.4,70700,0,0.687116564
2014-11-20,248.96,249.43,249.76,248.36,86100,1,0.597222222
2014-11-21,249.9,250.14,250.45,249.25,72300,1,0.627198124
2014-11-24,252.34,252.52,253.05,251.83,94900,0,0.594488189
2014-11-25,251.72,252.9,252.92,251.71,80000,0,0.582322357
2014-11-26,252,252.59,252.6,250.87,72400,1,0.560090703
2014-11-27,253.3,254.13,254.57,253.3,93000,0,0.564164649
2014-11-28,253.7,253.6,253.98,252.7,67300,0,0.598475222
2014-12-01,251.59,252.09,252.15,250.86,79200,0,0.632113821
2014-12-02,251.41,250.69,251.44,250.12,67700,1,0.653488372
2014-12-03,251.65,251.94,252.51,251.13,52700,1,0.670103093
2014-12-04,254.06,252.48,254.31,252.43,60000,1,0.588390501
2014-12-05,254.24,254.08,254.58,253.8,73500,0,0.628992629
2014-12-08,253.71,254.49,254.68,253.38,46900,0,0.513317191
2014-12-09,253.21,253.39,253.8,252.49,73500,0,0.568877551
2014-12-10,249.35,252.21,252.57,249.35,60500,0,0.53200883
2014-12-11,245.54,247.22,248.37,245.53,69800,0,0.530997305
2014-12-12,246.44,246.2,247.23,245.48,62600,0,0.579462103
2014-12-15,246.27,243.93,246.27,243.25,55400,1,0.615226337
2014-12-16,244.43,244.73,246.57,243.96,67700,0,0.552462527
2014-12-17,243.72,245.35,245.37,243.72,61600,0,0.568764569
2014-12-18,243.82,246.08,246.4,241.89,58700,1,0.666666667
2014-12-19,247.96,246.88,248.14,245.95,55400,1,0.615615616
2014-12-22,249.7,248.93,249.84,247.67,46000,1,0.587837838
2014-12-23,249.06,249.58,249.92,248.74,50600,0,0.644736842
2014-12-24,250.07,249.16,250.17,248.63,43500,1,0.602870813
2014-12-26,250.05,250.08,251.12,249.65,48800,0,0.615283267
2014-12-29,246.3,248.25,248.45,246.3,44500,0,0.620779221
2014-12-30,244.05,247.09,247.39,243.78,52900,0,0.568710359
2015-01-02,244.79,243.96,245.32,243.25,54100,0,0.538461538
2015-01-05,244.26,243.83,244.56,241.76,62800,0,0.437229437
2015-01-06,239.93,241.36,242.06,239.32,66200,0,0.50896861
2015-01-07,240.53,239.41,240.91,239.09,54600,1,0.485380117
2015-01-08,243.94,242.28,244.13,241.68,64000,1,0.485714286
2015-01-09,246.05,245.97,247.11,245.4,65100,0,0.521276596
2015-01-12,245.7,245.16,246.27,245.05,64500,0,0.496774194
2015-01-13,246.29,244.98,246.64,244.47,59900,1,0.577565632
2015-01-14,245.99,246.48,247.46,245.78,70700,0,0.5625
2015-01-15,245.76,245.96,246.63,244.9,59400,0,0.394557823
2015-01-16,242.22,244.7,244.7,241.77,73300,1,0.527075812
2015-01-19,244.78,244.06,245.82,243.69,63200,1,0.550251256
2015-01-20,247.24,245.52,247.39,245.5,55100,1,0.507614213
2015-01-21,248.59,247.01,248.59,246.63,64900,1,0.507782101
2015-01-22,248.47,249.22,249.98,248.01,76600,1,0.522088353
2015-01-23,250.32,251.76,251.8,249.55,78300,0,0.590738423
2015-01-26,250.14,248.92,250.21,248.42,62700,1,0.607515658
2015-01-27,252.2,250.76,252.2,250.56,85000,0,0.713080169
2015-01-28,252.21,250.82,252.5,250.12,85100,0,0.680638723
2015-01-29,250.46,250.45,251.84,249.78,83300,1,0.599542334
2015-01-30,249.88,251.82,251.84,249.88,93000,0,0.582142857
2015-02-02,250.61,249.83,251.2,249.49,76400,0,0.569620253
2015-02-03,250.38,251.63,251.66,249.22,79000,1,0.435
2015-02-04,251.6,251.98,253.07,251.6,78200,0,0.451438849
2015-02-05,249.78,251.33,251.42,248.9,69900,0,0.685767098
2015-02-06,250.16,249.89,250.16,248.68,76000,0,0.566857143
2015-02-09,249.26,249.05,249.94,248.58,64800,0,0.47309833
2015-02-10,247.66,249.62,250.42,247.66,62800,1,0.463286713
2015-02-11,248.4,248.49,249.01,247.77,64700,0,0.537190083
